Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
(NSC only) New attending enrollment,003f400000KvxWyAAJ,001f400000Lvi07AAB,2020-01-13,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1404
Perfect Match,003f400000TlTQAAA3,001f400000LvhPPAAZ,2018-07-30,,2016-04-13,Attending,Bachelor's,NSC,,,761,003f400000TlTQAAA3,001f400000LvhPPAAZ,2018-07-30,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli5cAAB,,,2409
Perfect Match,003f400000TlTQAAA3,001f400000LvhyeAAB,2019-01-14,2019-08-30,2016-04-13,Withdrew,Associate's or Certificate (TBD),NSC,,,760,003f400000TlTQAAA3,001f400000LvhyeAAB,2019-01-14,2019-08-30,2016-04-13,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f400000G1i66AAB,,,2807
Perfect Match,003f400000KvxVZAAZ,001f400000LvhyxAAB,2018-09-04,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1527,003f400000KvxVZAAZ,001f400000LvhyxAAB,2018-09-04,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFViAAN,,,2667
Perfect Match,003f400000KvxVZAAZ,001f400000Lvi06AAB,2018-09-04,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1526,003f400000KvxVZAAZ,001f400000Lvi06AAB,2018-09-04,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli8nAAB,,,2602
Attending but DB had T/W,003f400000KvxVZAAZ,001f400000LvhQWAAZ,2016-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,1525,003f400000KvxVZAAZ,001f400000LvhQWAAZ,2016-08-24,2016-12-14,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n6pVAAQ,,,424
Perfect Match,003f400000KvxRpAAJ,001f400000LvhQiAAJ,2015-08-25,2016-10-04,2016-04-13,Transferred out,Bachelor's,NSC,,,2012,003f400000KvxRpAAJ,001f400000LvhQiAAJ,2015-08-25,2016-10-04,2016-04-13,Transferred out,Bachelor's,NSC,,,a02f4000006n6oYAAQ,,,397
Perfect Match,003f400000KvxRpAAJ,001f400000Lvi06AAB,2017-09-05,2018-05-25,2016-04-13,Graduated,Associate's,NSC,ASSOCIATE OF ARTS-TRANSFER,LIBERAL ARTS: SOC/BEH SCI,2011,003f400000KvxRpAAJ,001f400000Lvi06AAB,2017-09-05,2018-05-25,2016-04-13,Graduated,Associate's or Certificate (TBD),NSC,ASSOCIATE OF ARTS-TRANSFER,LIBERAL ARTS: SOC/BEH SCI,a02f4000006n6oVAAQ,,,394
Unexpected graduation (had different status),003f400000KvxRpAAJ,001f400000LvhQYAAZ,2018-08-21,2019-12-19,2016-04-13,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION STUDIES,2010,003f400000KvxRpAAJ,001f400000LvhQYAAZ,2018-08-21,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli0RAAR,,,2094
Attending but DB had T/W,003f400000KvxRpAAJ,001f400000Lvhz1AAB,2016-06-06,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2013,003f400000KvxRpAAJ,001f400000Lvhz1AAB,2016-06-06,2016-09-16,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6oXAAQ,,,396
Attending but DB had T/W,003f400000KvxRpAAJ,001f400000LvhyrAAB,2016-06-27,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2009,003f400000KvxRpAAJ,001f400000LvhyrAAB,2016-06-27,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6oWAAQ,,,395
Perfect Match,003f400000KvxX6AAJ,001f400000Lvhz1AAB,2017-09-25,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1388,003f400000KvxX6AAJ,001f400000Lvhz1AAB,2017-09-25,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli8iAAB,,,2598
Perfect Match,003f400000KvxTLAAZ,001f400000LvhTjAAJ,2016-08-22,2016-10-27,2016-04-13,Withdrew,Bachelor's,NSC,,,1792,003f400000KvxTLAAZ,001f400000LvhTjAAJ,2016-08-22,2016-10-27,2016-04-13,Withdrew,Bachelor's,NSC,,,a02f4000006n7Q3AAI,,,1873
Perfect Match,003f400000KvxTLAAZ,001f400000LviEEAAZ,2019-01-22,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1791,003f400000KvxTLAAZ,001f400000LviEEAAZ,2019-01-22,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000G1i54AAB,,,2745
Perfect Match,003f400000KvxWqAAJ,001f400000LvhQ1AAJ,2016-08-29,,2016-04-13,Attending,Bachelor's,NSC,,,1434,003f400000KvxWqAAJ,001f400000LvhQ1AAJ,2016-08-29,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n7J4AAI,,,1645
Perfect Match,003f400000KvxLpAAJ,001f400000Lvi0cAAB,2016-07-21,2016-07-21,2016-04-13,Graduated,Associate's,NSC,ASSOCIATE OF SCIENCE,CRIMINAL JUSTICE,2817,003f400000KvxLpAAJ,001f400000Lvi0cAAB,2016-07-21,2016-07-21,2016-04-13,Graduated,Associate's,NSC,ASSOCIATE OF SCIENCE,CRIMINAL JUSTICE,a02f4000006n72ZAAQ,,,946
Perfect Match,003f400000KvxLpAAJ,001f400000LviKgAAJ,2016-05-02,2016-07-22,2016-04-13,Graduated,Associate's or Certificate (TBD),NSC,,,2816,003f400000KvxLpAAJ,001f400000LviKgAAJ,2016-05-02,2016-07-22,2016-04-13,Graduated,Associate's or Certificate (TBD),NSC,,,a02f4000006n72bAAA,,,948
Perfect Match,003f400000KvxLpAAJ,001f400000LviKgAAJ,2014-08-25,2015-11-27,2016-04-13,Withdrew,Associate's or Certificate (TBD),NSC,,,2815,003f400000KvxLpAAJ,001f400000LviKgAAJ,2014-08-25,2015-11-27,2016-04-13,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n72aAAA,,,947
Attending but DB had T/W,003f400000KvxLpAAJ,001f400000Lvhz1AAB,2017-09-25,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2818,003f400000KvxLpAAJ,001f400000Lvhz1AAB,2017-09-25,2018-06-29,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f400000Bli6xAAB,,,2490
Perfect Match,003f40000169hrEAAQ,001f400000LvhQWAAZ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,502,003f40000169hrEAAQ,001f400000LvhQWAAZ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGcLAAV,,,3351
Perfect Match,003f400000KvxgFAAR,001f400000LvhzcAAB,2017-08-26,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3663,003f400000KvxgFAAR,001f400000LvhzcAAB,2017-08-26,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n78ZAAQ,,,1191
(NSC only) New attending enrollment,003f400000KvxgFAAR,001f400000LvhT0AAJ,2020-01-16,,2016-04-13,Attending,Bachelor's,NSC,,,3664
(NSC only) New attending enrollment,003f40000169hwQAAQ,001f400000Lvi0MAAR,2020-01-14,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,279
Perfect Match,003f400000KvxfPAAR,001f400000Lvi07AAB,2018-06-11,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3733,003f400000KvxfPAAR,001f400000Lvi07AAB,2018-06-11,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli0VAAR,,,2098
Perfect Match,003f400000KvxfPAAR,001f400000LvhPJAAZ,2017-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,3732,003f400000KvxfPAAR,001f400000LvhPJAAZ,2017-08-28,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6fcAAA,,,36
Perfect Match,003f400000KvxXOAAZ,001f400000Lvi07AAB,2018-06-12,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1337,003f400000KvxXOAAZ,001f400000Lvi07AAB,2018-06-12,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli89AAB,,,2564
Attending but DB had T/W,003f400000KvxXOAAZ,001f400000LvhyZAAR,2017-08-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1336,003f400000KvxXOAAZ,001f400000LvhyZAAR,2017-08-16,2018-05-25,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f400000Bli8AAAR,,,2565
Perfect Match,003f40000169hrlAAA,001f400000LvhQ3AAJ,2019-08-21,,2016-04-13,Attending,Bachelor's,NSC,,,490,003f40000169hrlAAA,001f400000LvhQ3AAJ,2019-08-21,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGg1AAF,,,3579
Perfect Match,003f400000TlTL1AAN,001f400000LvhKOAAZ,2018-05-29,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1057,003f400000TlTL1AAN,001f400000LvhKOAAZ,2018-05-29,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli3mAAB,,,2298
Perfect Match,003f400000TlTL1AAN,001f400000Lvi06AAB,2018-09-04,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1056,003f400000TlTL1AAN,001f400000Lvi06AAB,2018-09-04,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli3lAAB,,,2297
Perfect Match,003f400000KvxI8AAJ,001f400000LvhQiAAJ,2016-01-25,2018-05-19,2016-04-13,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,BUSINESS ADMINISTRATION,3383,003f400000KvxI8AAJ,001f400000LvhQiAAJ,2016-01-25,2018-05-19,2016-04-13,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,BUSINESS ADMINISTRATION,a02f4000006n6ghAAA,,,74
Perfect Match,003f400000KvxI8AAJ,001f400000LvhQiAAJ,2012-08-21,2014-12-12,2016-04-13,Transferred out,Bachelor's,NSC,,,3382,003f400000KvxI8AAJ,001f400000LvhQiAAJ,2012-08-21,2014-12-12,2016-04-13,Transferred out,Bachelor's,NSC,,,a02f4000006n6ggAAA,,,73
Perfect Match,003f400000KvxI8AAJ,001f400000LvhyZAAR,2014-06-16,2014-08-09,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,3381,003f400000KvxI8AAJ,001f400000LvhyZAAR,2014-06-16,2014-08-09,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6gfAAA,,,72
Perfect Match,003f400000KvxI8AAJ,001f400000LvhyZAAR,2013-06-17,2013-08-10,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,3380,003f400000KvxI8AAJ,001f400000LvhyZAAR,2013-06-17,2013-08-10,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6geAAA,,,71
Perfect Match,003f400000KvxI8AAJ,001f400000Lvi0GAAR,2015-01-12,2015-05-22,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,3379,003f400000KvxI8AAJ,001f400000Lvi0GAAR,2015-01-12,2015-05-22,2016-04-13,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6gdAAA,,,70
Attending but DB had T/W,003f400000KvxI8AAJ,001f400000Lvi07AAB,2018-01-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3385,003f400000KvxI8AAJ,001f400000Lvi07AAB,2018-01-16,2018-05-25,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f400000Bli1HAAR,,,2146
Attending but DB had T/W,003f400000KvxI8AAJ,001f400000Lvi07AAB,2015-06-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3384,003f400000KvxI8AAJ,001f400000Lvi07AAB,2015-06-16,2015-12-18,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6gcAAA,,,69
Attending but DB had T/W,003f400000KvxUyAAJ,001f400000LvhQYAAZ,2016-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,1641,003f400000KvxUyAAJ,001f400000LvhQYAAZ,2016-08-24,2016-12-12,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n7MDAAY,,,1725
Perfect Match,003f40000169huoAAA,001f400000LvhPNAAZ,2019-08-05,,2016-04-13,Attending,Bachelor's,NSC,,,394,003f40000169huoAAA,001f400000LvhPNAAZ,2019-08-05,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGeuAAF,,,3510
Attending but DB had T/W,003f400000KvxPGAAZ,001f400000LvhyhAAB,2018-01-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2327,003f400000KvxPGAAZ,001f400000LvhyhAAB,2018-01-16,2018-05-23,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f400000Bli9FAAR,,,2629
Attending but DB had T/W,003f400000KvxPGAAZ,001f400000LvhyZAAR,2017-01-17,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2326,003f400000KvxPGAAZ,001f400000LvhyZAAR,2017-01-17,2017-12-16,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n73EAAQ,,,979
Attending but DB had T/W,003f400000KvxPGAAZ,001f400000LvhPCAAZ,2015-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,2325,003f400000KvxPGAAZ,001f400000LvhPCAAZ,2015-08-24,2016-05-20,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n73DAAQ,,,978
Perfect Match,003f400000KvxNYAAZ,001f400000LvhyWAAR,2018-08-20,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2490,003f400000KvxNYAAZ,001f400000LvhyWAAR,2018-08-20,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli2rAAB,,,2242
Perfect Match,003f400000KvxNYAAZ,001f400000LvhPCAAZ,2015-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,2489,003f400000KvxNYAAZ,001f400000LvhPCAAZ,2015-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6iEAAQ,,,125
Perfect Match,003f400000KvxQXAAZ,001f400000LvhyxAAB,2018-09-04,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2128,003f400000KvxQXAAZ,001f400000LvhyxAAB,2018-09-04,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFWAAA3,,,2695
Attending but DB had T/W,003f400000KvxQXAAZ,001f400000LvhyrAAB,2017-09-25,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2127,003f400000KvxQXAAZ,001f400000LvhyrAAB,2017-09-25,2017-12-15,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6sgAAA,,,544
Attending but DB had T/W,003f400000KvxQXAAZ,001f400000LvhyrAAB,2015-09-21,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2126,003f400000KvxQXAAZ,001f400000LvhyrAAB,2015-09-21,2017-03-31,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6sfAAA,,,543
Perfect Match,003f400000KvxcXAAR,001f400000LvhyZAAR,2017-08-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3980,003f400000KvxcXAAR,001f400000LvhyZAAR,2017-08-16,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n7OgAAI,,,1825
(NSC only) New attending enrollment,003f400000KvxcXAAR,001f400000LvhyZAAR,2020-01-13,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3981
Perfect Match,003f400000TlTReAAN,001f400000LvhQWAAZ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,678,003f400000TlTReAAN,001f400000LvhQWAAZ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli8fAAB,,,2595
Perfect Match,003f400000KvxGvAAJ,001f400000LvhPJAAZ,2012-08-27,2013-12-24,2016-04-13,Withdrew,Bachelor's,NSC,,,3604,003f400000KvxGvAAJ,001f400000LvhPJAAZ,2012-08-27,2013-12-24,2016-04-13,Withdrew,Bachelor's,NSC,,,a02f4000006n70aAAA,,,866
Perfect Match,003f400000KvxdMAAR,001f400000LvhyxAAB,2019-06-17,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3922,003f400000KvxdMAAR,001f400000LvhyxAAB,2019-06-17,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KZCIKAA5,,,2989
Perfect Match,003f400000KvxdMAAR,001f400000LvhyxAAB,2018-06-18,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3921,003f400000KvxdMAAR,001f400000LvhyxAAB,2018-06-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFVRAA3,,,2650
Perfect Match,003f400000KvxdMAAR,001f400000LvlNKAAZ,2017-08-23,,2016-04-13,Attending,Bachelor's,NSC,,,3920,003f400000KvxdMAAR,001f400000LvlNKAAZ,2017-08-23,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6lmAAA,,,283
Perfect Match,003f400000KvxScAAJ,001f400000LvhPSAAZ,2016-09-17,,2016-04-13,Attending,Bachelor's,NSC,,,1942,003f400000KvxScAAJ,001f400000LvhPSAAZ,2016-09-17,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6qOAAQ,,,456
Attending but DB had T/W,003f400000KvxScAAJ,001f400000LvhyeAAB,2017-05-30,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1943,003f400000KvxScAAJ,001f400000LvhyeAAB,2017-05-30,2017-08-03,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6qPAAQ,,,457
Perfect Match,003f400000KvxNoAAJ,001f400000LvhPKAAZ,2015-08-31,,2016-04-13,Attending,Bachelor's,NSC,,,2536,003f400000KvxNoAAJ,001f400000LvhPKAAZ,2015-08-31,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n7NUAAY,,,1778
Perfect Match,003f400000KvxVLAAZ,001f400000LvhyxAAB,2018-06-18,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1576,003f400000KvxVLAAZ,001f400000LvhyxAAB,2018-06-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFW2AAN,,,2687
Attending but DB had T/W,003f400000KvxVLAAZ,001f400000LvhzZAAR,2017-08-14,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1575,003f400000KvxVLAAZ,001f400000LvhzZAAR,2017-08-14,2018-05-25,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6yjAAA,,,791
Attending but DB had T/W,003f400000KvxVLAAZ,001f400000LvlNKAAZ,2016-08-24,,2016-04-13,Attending,Bachelor's,NSC,,,1574,003f400000KvxVLAAZ,001f400000LvlNKAAZ,2016-08-24,2017-05-12,2018-11-28,Transferred out,Bachelor's,Coordinator Verified,,,a02f4000006n6ykAAA,,,792
Perfect Match,003f400000KvxYpAAJ,001f400000LvhPSAAZ,2017-09-23,,2016-04-13,Attending,Bachelor's,NSC,,,1224,003f400000KvxYpAAJ,001f400000LvhPSAAZ,2017-09-23,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6g1AAA,,,49
Perfect Match,003f40000169hyPAAQ,001f400000LvhPRAAZ,2019-09-26,,2016-04-13,Attending,Bachelor's,NSC,,,210,003f40000169hyPAAQ,001f400000LvhPRAAZ,2019-09-26,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGgxAAF,,,3637
Attending but DB had T/W,003f400000KvxONAAZ,001f400000LvlNKAAZ,2015-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,2409,003f400000KvxONAAZ,001f400000LvlNKAAZ,2015-08-26,2015-12-18,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n6zRAAQ,,,818
Perfect Match,003f400000KvxITAAZ,001f400000LvhRAAAZ,2017-08-21,2018-09-13,2016-04-13,Withdrew,Bachelor's,NSC,,,3286,003f400000KvxITAAZ,001f400000LvhRAAAZ,2017-08-21,2018-09-13,2016-04-13,Withdrew,Bachelor's,NSC,,,a02f4000006n7DRAAY,,,1399
Attending but DB had T/W,003f400000KvxITAAZ,001f400000LvhRAAAZ,2013-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,3285,003f400000KvxITAAZ,001f400000LvhRAAAZ,2013-08-26,2016-12-09,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n7DQAAY,,,1398
Perfect Match,003f400000KvxetAAB,001f400000LvhaYAAR,2017-09-05,,2016-04-13,Attending,Bachelor's,NSC,,,3809,003f400000KvxetAAB,001f400000LvhaYAAR,2017-09-05,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n7O0AAI,,,1792
Perfect Match,003f400000Kvxg0AAB,001f400000LvlNKAAZ,2018-01-16,,2016-04-13,Attending,Bachelor's,NSC,,,3700,003f400000Kvxg0AAB,001f400000LvlNKAAZ,2018-01-16,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli96AAB,,,2620
Perfect Match,003f400000Kvxg0AAB,001f400000LvhPSAAZ,2019-06-24,,2016-04-13,Attending,Bachelor's,NSC,,,3699,003f400000Kvxg0AAB,001f400000LvhPSAAZ,2019-06-24,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KZCJGAA5,,,3045
Attending but DB had T/W,003f400000Kvxg0AAB,001f400000LvhyrAAB,2017-09-25,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3698,003f400000Kvxg0AAB,001f400000LvhyrAAB,2017-09-25,2017-12-15,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6vwAAA,,,661
Perfect Match,003f400000KvxOAAAZ,001f400000LvhpPAAR,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,2466,003f400000KvxOAAAZ,001f400000LvhpPAAR,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli78AAB,,,2501
Attending but DB had T/W,003f400000KvxOAAAZ,001f400000LvhpPAAR,2018-01-03,,2016-04-13,Attending,Bachelor's,NSC,,,2465,003f400000KvxOAAAZ,001f400000LvhpPAAR,2018-01-03,2018-03-16,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f400000Bli79AAB,,,2502
Attending but DB had T/W,003f400000KvxOAAAZ,001f400000LvhQoAAJ,2016-08-29,,2016-04-13,Attending,Bachelor's,NSC,,,2464,003f400000KvxOAAAZ,001f400000LvhQoAAJ,2016-08-29,2017-12-15,2018-11-28,Transferred out,Bachelor's,Coordinator Verified,,,a02f4000006n7GYAAY,,,1534
Perfect Match,003f40000169hsfAAA,001f400000LvhPKAAZ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,454,003f40000169hsfAAA,001f400000LvhPKAAZ,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGiEAAV,,,3716
Perfect Match,003f400000TlTL6AAN,001f400000Lvhz1AAB,2018-09-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1047,003f400000TlTL6AAN,001f400000Lvhz1AAB,2018-09-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli4kAAB,,,2358
Perfect Match,003f400000TlTM4AAN,001f400000Lvi07AAB,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,973,003f400000TlTM4AAN,001f400000Lvi07AAB,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KZCIfAAP,,,3008
Perfect Match,003f400000TlTM4AAN,001f400000LvhQWAAZ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,972,003f400000TlTM4AAN,001f400000LvhQWAAZ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli3LAAR,,,2272
Attending but DB had T/W,003f400000KvxRBAAZ,001f400000LvhzcAAB,2017-08-26,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2082,003f400000KvxRBAAZ,001f400000LvhzcAAB,2017-08-26,2017-12-16,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n7HfAAI,,,1574
Attending but DB had T/W,003f400000KvxRBAAZ,001f400000LvhfUAAR,2015-08-31,,2016-04-13,Attending,Bachelor's,NSC,,,2081,003f400000KvxRBAAZ,001f400000LvhfUAAR,2015-08-31,2016-12-16,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n7HgAAI,,,1575
Perfect Match,003f400000KvxdzAAB,001f400000LvhP9AAJ,2018-08-22,,2016-04-13,Attending,Bachelor's,NSC,,,3884,003f400000KvxdzAAB,001f400000LvhP9AAJ,2018-08-22,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli1dAAB,,,2168
Attending but DB had T/W,003f400000KvxdzAAB,001f400000LvhQWAAZ,2017-08-23,,2016-04-13,Attending,Bachelor's,NSC,,,3883,003f400000KvxdzAAB,001f400000LvhQWAAZ,2017-08-23,2017-08-28,2018-11-28,Withdrew,Bachelor's,Coordinator Verified,,,a02f4000006n6oqAAA,,,404
Perfect Match,003f400000KvxQnAAJ,001f400000LvhfUAAR,2015-08-31,2019-05-12,2016-04-13,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MARKETING MANAGEMENT,2175,003f400000KvxQnAAJ,001f400000LvhfUAAR,2015-08-31,2019-05-12,2016-04-13,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MARKETING MANAGEMENT,a02f4000006n6sPAAQ,,,534
Perfect Match,003f400000KvxT8AAJ,001f400000LvhyZAAR,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1833,003f400000KvxT8AAJ,001f400000LvhyZAAR,2019-06-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KZCHVAA5,,,2939
Perfect Match,003f400000KvxT8AAJ,001f400000LvhPKAAZ,2016-05-31,,2016-04-13,Attending,Bachelor's,NSC,,,1832,003f400000KvxT8AAJ,001f400000LvhPKAAZ,2016-05-31,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6m7AAA,,,294
Perfect Match,003f400000TlTRMAA3,001f400000LvhQWAAZ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,663,003f400000TlTRMAA3,001f400000LvhQWAAZ,2018-08-27,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli4EAAR,,,2326
Attending but DB had T/W,003f400000KvxOdAAJ,001f400000LvhyZAAR,2015-08-17,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2456,003f400000KvxOdAAJ,001f400000LvhyZAAR,2015-08-17,2016-05-19,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6j6AAA,,,165
(NSC only) New attending enrollment,003f40000169i0oAAA,001f400000LvhyxAAB,2020-01-27,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,95
